feature,May 2021 selloff,Terra/LUNA,FTX collapse,USDC depeg
realized_vol_7,0.09913178,0.11802627,0.21770039,0.27151963
realized_vol_14,0.094761334,0.10053497,0.09377605,0.060730558
realized_vol_30,0.13736533,0.083328746,0.12715238,0.19174612
volume_z_20,0.075680405,0.05677765,0.062875696,0.058010183
drawdown_depth,0.07641661,0.09648428,0.28937837,0.23117147
drawdown_duration,0.2238584,0.25968608,0.36637935,0.47886267
rsi_14,0.088219024,0.08973392,0.077479266,0.09402233
momentum_10,0.214839,0.20925401,0.16940469,0.052307945
atr_14,0.4000149,0.3533131,0.36275914,0.6280422
exchange_netflow_7,0.2471692,0.22140151,0.27078387,0.20554066
whale_tx_count,0.13344361,0.1743037,0.21492572,0.19403668
active_addresses,0.18964888,0.19864634,0.23703039,0.2164815
stablecoin_netflow,0.14923947,0.24006934,0.40220845,0.14383729
nvt_ratio,0.26567778,0.39524934,0.21086197,0.29508883
headline_polarity_1d,0.060176246,0.14229368,0.14583865,0.09403804
headline_polarity_7d,0.10645186,0.2631528,0.28038985,0.2928959
negative_ratio_7d,0.09105176,0.2871943,0.068693735,0.3529464
mean_pairwise_corr_30,0.23640472,0.06565925,0.3342052,0.12476388
corr_dispersion_30,0.5508253,0.35715273,0.4651436,1.0874907
btc_lead_lag_5,0.39195448,0.48600805,0.60184735,0.32633945
eigen_centrality_30,0.22220637,0.2066691,0.24232909,0.18067941
