feature,contribution,abs_contribution,share_of_total
corr_dispersion_30,-0.7791712,0.7791712,0.24916537
exchange_netflow_7,-0.35994872,0.35994872,0.11510533
headline_polarity_7d,-0.2543817,0.2543817,0.08134683
btc_lead_lag_5,-0.22857735,0.22857735,0.07309505
mean_pairwise_corr_30,-0.22001728,0.22001728,0.070357695
stablecoin_netflow,-0.1770388,0.1770388,0.056613922
atr_14,-0.16203287,0.16203287,0.05181529
eigen_centrality_30,-0.16198526,0.16198526,0.051800065
realized_vol_30,-0.1085052,0.1085052,0.03469807
realized_vol_7,-0.1001098,0.1001098,0.032013368
momentum_10,-0.07999216,0.07999216,0.025580099
rsi_14,-0.07933616,0.07933616,0.02537032
whale_tx_count,-0.07348315,0.07348315,0.02349863
active_addresses,-0.06828054,0.06828054,0.021834927
negative_ratio_7d,-0.0564231,0.0564231,0.018043125
drawdown_depth,0.047247827,0.047247827,0.015109031
volume_z_20,-0.041438036,0.041438036,0.013251161
nvt_ratio,0.03638955,0.03638955,0.011636743
headline_polarity_1d,-0.033382773,0.033382773,0.010675229
realized_vol_14,-0.03318789,0.03318789,0.010612909
drawdown_duration,0.026195483,0.026195483,0.008376859
