model,fold,pr_auc,roc_auc,f1,precision,recall,false_alarm_rate,brier,positive_rate,n_positive,n_samples,threshold,pr_auc_baseline,pr_auc_lift
lstm,fold1_2022,0.13879311165377806,0.4345373085695666,0.0,0.0,0.0,0.0,0.150412396682355,0.1506849315068493,330,2190,0.7970949814719331,0.1506849315068493,-0.01189181985307125
lstm,fold2_2023,0.023134297333591125,0.4423044183908568,0.0,0.0,0.0,0.00046533271288971617,0.019741716819256194,0.01872146118721461,41,2190,0.7677948367108224,0.01872146118721461,0.004412836146376515
lstm,fold3_2024,0.0923531622437575,0.5692094498706068,0.0353356890459364,0.0423728813559322,0.030303030303030304,0.06225895316804408,0.1342696432312948,0.08333333333333333,165,1980,0.7520924862916812,0.08333333333333333,0.009019828910424174
lstm,fold4_2025,0.08584997875700014,0.5111204954954955,0.07482993197278912,0.07971014492753623,0.07051282051282051,0.07150900900900901,0.14119640164279856,0.08074534161490683,156,1932,0.8147987203377614,0.08074534161490683,0.0051046371420933045
gru,fold1_2022,0.15913859296854913,0.5055001629195177,0.0,0.0,0.0,0.0,0.15045485789542354,0.1506849315068493,330,2190,0.8329780259611029,0.1506849315068493,0.008453661461699818
gru,fold2_2023,0.025300538371528118,0.6093475127399017,0.016260162601626018,0.00975609756097561,0.04878048780487805,0.09446254071661238,0.09142267398105798,0.01872146118721461,41,2190,0.4921093007731894,0.01872146118721461,0.006579077184313508
gru,fold3_2024,0.08291394300689933,0.5055747558226897,0.026845637583892617,0.03007518796992481,0.024242424242424242,0.07107438016528926,0.14401810394188855,0.08333333333333333,165,1980,0.6828165191228499,0.08333333333333333,-0.00041939032643399654
gru,fold4_2025,0.10537951238211579,0.6159585065835065,0.054474708171206226,0.06930693069306931,0.04487179487179487,0.05292792792792793,0.12397586602872675,0.08074534161490683,156,1932,0.7989038435857785,0.08074534161490683,0.02463417076720896
xgb,fold1_2022,0.18307550312721024,0.4879504724666015,0.0,0.0,0.0,0.0,0.14975151023992503,0.1506849315068493,330,2190,0.17910973381768852,0.1506849315068493,0.032390571620360936
xgb,fold2_2023,0.04035769020585747,0.6062150291116685,0.0,0.0,0.0,0.0,0.028586775580648836,0.01872146118721461,41,2190,0.827193723869526,0.01872146118721461,0.02163622901864286
xgb,fold3_2024,0.1491416669640999,0.6320394022873361,0.0,0.0,0.0,0.0,0.08182047827903972,0.08333333333333333,165,1980,0.8420698909941353,0.08333333333333333,0.06580833363076656
xgb,fold4_2025,0.1370805617988489,0.6577767671517671,0.03468208092485549,0.17647058823529413,0.019230769230769232,0.007882882882882882,0.08305343551118788,0.08074534161490683,156,1932,0.6399435625642031,0.08074534161490683,0.05633522018394206
rf,fold1_2022,0.2044595899101826,0.5021195829260345,0.0,0.0,0.0,0.0,0.13606561561051558,0.1506849315068493,330,2190,0.7881003869791824,0.1506849315068493,0.053774658403333286
rf,fold2_2023,0.07128635024995318,0.7052741490653623,0.0,0.0,0.0,0.00046533271288971617,0.13268656428925069,0.01872146118721461,41,2190,0.6623705701864407,0.01872146118721461,0.05256488906273857
rf,fold3_2024,0.14213321952693547,0.6548059103431005,0.0,0.0,0.0,0.0005509641873278236,0.09383273169164759,0.08333333333333333,165,1980,0.7117732028458,0.08333333333333333,0.058799886193602144
rf,fold4_2025,0.154748240451624,0.6271259240009239,0.0,0.0,0.0,0.0,0.10598032037943306,0.08074534161490683,156,1932,0.7302624304093067,0.08074534161490683,0.07400289883671717
logreg,fold1_2022,0.2633604177753118,0.6849934832192897,0.10909090909090909,0.38181818181818183,0.06363636363636363,0.01827956989247312,0.15107444444026555,0.1506849315068493,330,2190,0.6790646811977786,0.1506849315068493,0.11267548626846247
logreg,fold2_2023,0.14246488441883778,0.6979877197562111,0.12698412698412698,0.07582938388625593,0.3902439024390244,0.09073987901349465,0.0931603680056138,0.01872146118721461,41,2190,0.6197167062871362,0.01872146118721461,0.12374342323162317
logreg,fold3_2024,0.07395474664868196,0.46302362467651725,0.03115264797507788,0.03205128205128205,0.030303030303030304,0.08319559228650138,0.1542391240096994,0.08333333333333333,165,1980,0.7306839044342434,0.08333333333333333,-0.009378586684651372
logreg,fold4_2025,0.07118916537713055,0.4461047586047586,0.038781163434903045,0.03414634146341464,0.04487179487179487,0.11148648648648649,0.19884633498720902,0.08074534161490683,156,1932,0.7542111131479035,0.08074534161490683,-0.009556176237776284
mlp,fold1_2022,0.17195222089754614,0.5913245356793744,0.0,0.0,0.0,0.0,0.1506847197490089,0.1506849315068493,330,2190,0.3140524963894526,0.1506849315068493,0.02126728939069683
mlp,fold2_2023,0.04046063550286176,0.7194951707544066,0.10059171597633136,0.05723905723905724,0.4146341463414634,0.13029315960912052,0.123457925766054,0.01872146118721461,41,2190,0.5907521992540479,0.01872146118721461,0.02173917431564715
mlp,fold3_2024,0.0958980266280452,0.5334835962935136,0.009900990099009901,0.02702702702702703,0.006060606060606061,0.019834710743801654,0.09580338447751213,0.08333333333333333,165,1980,0.4975980439092968,0.08333333333333333,0.012564693294711868
mlp,fold4_2025,0.13038909855366113,0.6358606202356203,0.05102040816326531,0.125,0.03205128205128205,0.019707207207207207,0.09006105167755941,0.08074534161490683,156,1932,0.5513744224017119,0.08074534161490683,0.049643756938754294
