episode,rank,feature,mean_abs_attribution,share_of_total
May 2021 selloff,1,corr_dispersion_30,0.550825297832489,0.13585407831772842
May 2021 selloff,2,atr_14,0.4000149071216583,0.09865860688354046
May 2021 selloff,3,btc_lead_lag_5,0.3919544816017151,0.09667060509028659
May 2021 selloff,4,nvt_ratio,0.2656777799129486,0.06552605710304589
May 2021 selloff,5,exchange_netflow_7,0.24716919660568237,0.06096114961591696
Terra/LUNA,1,btc_lead_lag_5,0.48600804805755615,0.11033252192317522
Terra/LUNA,2,nvt_ratio,0.3952493369579315,0.08972867076856927
Terra/LUNA,3,corr_dispersion_30,0.3571527302265167,0.08108005946636584
Terra/LUNA,4,atr_14,0.3533130884170532,0.08020839208181751
Terra/LUNA,5,negative_ratio_7d,0.28719431161880493,0.06519824683878579
FTX collapse,1,btc_lead_lag_5,0.6018473505973816,0.11483088318580287
FTX collapse,2,corr_dispersion_30,0.4651435911655426,0.08874816733634991
FTX collapse,3,stablecoin_netflow,0.40220844745635986,0.07674030831964475
FTX collapse,4,drawdown_duration,0.36637935042381287,0.06990421133938315
FTX collapse,5,atr_14,0.36275914311408997,0.06921348535665921
USDC depeg,1,corr_dispersion_30,1.0874906778335571,0.19487153798534
USDC depeg,2,atr_14,0.6280422210693359,0.11254124383238352
USDC depeg,3,drawdown_duration,0.4788626730442047,0.08580920046670737
USDC depeg,4,negative_ratio_7d,0.352946400642395,0.0632457908113676
USDC depeg,5,btc_lead_lag_5,0.326339453458786,0.05847799203897374
